"iso3c","country","income_group","region","population","small_state_flag"
"AFG","Afghanistan","Low income","Middle East, North Africa, Afghanistan & Pakistan",43844111,FALSE
"ALB","Albania","Upper middle income","Europe & Central Asia",2349580,FALSE
"DZA","Algeria","Upper middle income","Middle East, North Africa, Afghanistan & Pakistan",47435312,FALSE
"ASM","American Samoa","High income","East Asia & Pacific",46029,TRUE
"AND","Andorra","High income","Europe & Central Asia",82904,TRUE
"AGO","Angola","Lower middle income","Sub-Saharan Africa ",39040039,FALSE
"ATG","Antigua and Barbuda","High income","Latin America & Caribbean ",94209,TRUE
"ARG","Argentina","Upper middle income","Latin America & Caribbean ",45851378,FALSE
"ARM","Armenia","Upper middle income","Europe & Central Asia",3086700,FALSE
"ABW","Aruba","High income","Latin America & Caribbean ",108785,TRUE
"AUS","Australia","High income","East Asia & Pacific",27614411,FALSE
"AUT","Austria","High income","Europe & Central Asia",9208163,FALSE
"AZE","Azerbaijan","Upper middle income","Europe & Central Asia",10246996,FALSE
"BHS","Bahamas, The","High income","Latin America & Caribbean ",403033,TRUE
"BHR","Bahrain","High income","Middle East, North Africa, Afghanistan & Pakistan",1600366,FALSE
"BGD","Bangladesh","Lower middle income","South Asia",175686899,FALSE
"BRB","Barbados","High income","Latin America & Caribbean ",282623,TRUE
"BLR","Belarus","Upper middle income","Europe & Central Asia",9085991,FALSE
"BEL","Belgium","High income","Europe & Central Asia",11941781,FALSE
"BLZ","Belize","Upper middle income","Latin America & Caribbean ",422924,TRUE
"BEN","Benin","Lower middle income","Sub-Saharan Africa ",14814460,FALSE
"BMU","Bermuda","High income","North America",64555,TRUE
"BTN","Bhutan","Lower middle income","South Asia",796682,TRUE
"BOL","Bolivia","Lower middle income","Latin America & Caribbean ",12581843,FALSE
"BIH","Bosnia and Herzegovina","Upper middle income","Europe & Central Asia",3140095,FALSE
"BWA","Botswana","Upper middle income","Sub-Saharan Africa ",2562122,FALSE
"BRA","Brazil","Upper middle income","Latin America & Caribbean ",212812405,FALSE
"VGB","British Virgin Islands","High income","Latin America & Caribbean ",39732,TRUE
"BRN","Brunei Darussalam","High income","East Asia & Pacific",466330,TRUE
"BGR","Bulgaria","High income","Europe & Central Asia",6433302,FALSE
"BFA","Burkina Faso","Low income","Sub-Saharan Africa ",24074580,FALSE
"BDI","Burundi","Low income","Sub-Saharan Africa ",14390003,FALSE
"CPV","Cabo Verde","Upper middle income","Sub-Saharan Africa ",527326,TRUE
"KHM","Cambodia","Lower middle income","East Asia & Pacific",17847982,FALSE
"CMR","Cameroon","Lower middle income","Sub-Saharan Africa ",29879337,FALSE
"CAN","Canada","High income","North America",41651653,FALSE
"CYM","Cayman Islands","High income","Latin America & Caribbean ",75844,TRUE
"CAF","Central African Republic","Low income","Sub-Saharan Africa ",5513282,FALSE
"TCD","Chad","Low income","Sub-Saharan Africa ",21003705,FALSE
"CHI","Channel Islands","High income","Europe & Central Asia",168466,TRUE
"CHL","Chile","High income","Latin America & Caribbean ",19859921,FALSE
"CHN","China","Upper middle income","East Asia & Pacific",1406585000,FALSE
"COL","Colombia","Upper middle income","Latin America & Caribbean ",53425635,FALSE
"COM","Comoros","Lower middle income","Sub-Saharan Africa ",882847,TRUE
"COD","Congo, Dem. Rep.","Low income","Sub-Saharan Africa ",112832473,FALSE
"COG","Congo, Rep.","Lower middle income","Sub-Saharan Africa ",6484437,FALSE
"CRI","Costa Rica","High income","Latin America & Caribbean ",5152950,FALSE
"CIV","Cote d'Ivoire","Lower middle income","Sub-Saharan Africa ",32711547,FALSE
"HRV","Croatia","High income","Europe & Central Asia",3876200,FALSE
"CUB","Cuba","Upper middle income","Latin America & Caribbean ",10937203,FALSE
"CUW","Curacao","High income","Latin America & Caribbean ",156263,TRUE
"CYP","Cyprus","High income","Europe & Central Asia",1370754,TRUE
"CZE","Czechia","High income","Europe & Central Asia",10886878,FALSE
"DNK","Denmark","High income","Europe & Central Asia",6009169,FALSE
"DJI","Djibouti","Lower middle income","Middle East, North Africa, Afghanistan & Pakistan",1184076,TRUE
"DMA","Dominica","Upper middle income","Latin America & Caribbean ",65871,TRUE
"DOM","Dominican Republic","Upper middle income","Latin America & Caribbean ",11520487,FALSE
"ECU","Ecuador","Upper middle income","Latin America & Caribbean ",18289896,FALSE
"EGY","Egypt, Arab Rep.","Lower middle income","Middle East, North Africa, Afghanistan & Pakistan",118365995,FALSE
"SLV","El Salvador","Upper middle income","Latin America & Caribbean ",6365503,FALSE
"GNQ","Equatorial Guinea","Upper middle income","Sub-Saharan Africa ",1938431,FALSE
"ERI","Eritrea","Low income","Sub-Saharan Africa ",3607003,FALSE
"EST","Estonia","High income","Europe & Central Asia",1366475,TRUE
"SWZ","Eswatini","Lower middle income","Sub-Saharan Africa ",1256174,TRUE
"ETH","Ethiopia","Low income","Sub-Saharan Africa ",135472051,FALSE
"FRO","Faroe Islands","High income","Europe & Central Asia",54900,TRUE
"FJI","Fiji","Upper middle income","East Asia & Pacific",933154,TRUE
"FIN","Finland","High income","Europe & Central Asia",5646436,FALSE
"FRA","France","High income","Europe & Central Asia",68720337,FALSE
"PYF","French Polynesia","High income","East Asia & Pacific",282465,TRUE
"GAB","Gabon","Upper middle income","Sub-Saharan Africa ",2593130,FALSE
"GMB","Gambia, The","Low income","Sub-Saharan Africa ",2822093,FALSE
"GEO","Georgia","Upper middle income","Europe & Central Asia",3935766,FALSE
"DEU","Germany","High income","Europe & Central Asia",83491249,FALSE
"GHA","Ghana","Lower middle income","Sub-Saharan Africa ",35064272,FALSE
"GIB","Gibraltar","High income","Europe & Central Asia",40126,TRUE
"GRC","Greece","High income","Europe & Central Asia",10413962,FALSE
"GRL","Greenland","High income","Europe & Central Asia",56831,TRUE
"GRD","Grenada","Upper middle income","Latin America & Caribbean ",117303,TRUE
"GUM","Guam","High income","East Asia & Pacific",168999,TRUE
"GTM","Guatemala","Upper middle income","Latin America & Caribbean ",18687881,FALSE
"GIN","Guinea","Lower middle income","Sub-Saharan Africa ",15099727,FALSE
"GNB","Guinea-Bissau","Low income","Sub-Saharan Africa ",2249515,FALSE
"GUY","Guyana","High income","Latin America & Caribbean ",835986,TRUE
"HTI","Haiti","Lower middle income","Latin America & Caribbean ",11906095,FALSE
"HND","Honduras","Lower middle income","Latin America & Caribbean ",11005850,FALSE
"HKG","Hong Kong SAR, China","High income","East Asia & Pacific",7498900,FALSE
"HUN","Hungary","High income","Europe & Central Asia",9514251,FALSE
"ISL","Iceland","High income","Europe & Central Asia",392404,TRUE
"IND","India","Lower middle income","South Asia",1463865525,FALSE
"IDN","Indonesia","Upper middle income","East Asia & Pacific",285721236,FALSE
"IRN","Iran, Islamic Rep.","Upper middle income","Middle East, North Africa, Afghanistan & Pakistan",92417681,FALSE
"IRQ","Iraq","Upper middle income","Middle East, North Africa, Afghanistan & Pakistan",47020774,FALSE
"IRL","Ireland","High income","Europe & Central Asia",5484367,FALSE
"IMN","Isle of Man","High income","Europe & Central Asia",84118,TRUE
"ISR","Israel","High income","Middle East, North Africa, Afghanistan & Pakistan",10122800,FALSE
"ITA","Italy","High income","Europe & Central Asia",58915656,FALSE
"JAM","Jamaica","Upper middle income","Latin America & Caribbean ",2837077,FALSE
